1668046319.391463 client started (13024): version 3.3a, socket /private/tmp/tmux-644719205/default, protocol 8
1668046319.391516 on Darwin 21.4.0 Darwin Kernel Version 21.4.0: Mon Feb 21 20:34:37 PST 2022; root:xnu-8020.101.4~2/RELEASE_X86_64
1668046319.392128 using libevent 2.1.12-stable (select); utf8proc 2.7.0; ncurses 6.3
1668046319.396782 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396788 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396794 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396801 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396809 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396816 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396827 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396837 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396849 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396857 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396864 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396870 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396877 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396885 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.396893 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396900 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396906 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396913 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396919 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396925 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.396932 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396938 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396944 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396951 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396957 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396963 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396970 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.396976 sending message 112 to peer 0x7fb5bc831000 (10 bytes)
1668046319.396982 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.396989 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.396995 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397001 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397007 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397014 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397020 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397041 sending message 112 to peer 0x7fb5bc831000 (9 bytes)
1668046319.397048 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397054 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397061 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397067 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397073 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397079 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397086 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.397092 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397099 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397105 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397111 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397117 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397124 sending message 112 to peer 0x7fb5bc831000 (13 bytes)
1668046319.397130 sending message 112 to peer 0x7fb5bc831000 (11 bytes)
1668046319.397136 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
1668046319.397143 sending message 112 to peer 0x7fb5bc831000 (12 bytes)
